Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C22, C3, C5, C6, C9, CNP1",0603,9,10uF,C96446
"C11, C13, C14, C16, C2, C7, C8, CNP2",0603,8,0.22uF,C21120
"C12, C17, C23, C24",0603,4,1uF,C15849
"C18, C19",0603,2,100pF,C14858
"C20, C21",0603,2,4.7nF,C53987
C4,0603,1,1nF,C1588
"D1, D2",0805,2,LED,
FB1,0805,1,600R@100 MHz <100 mR,C1017
J2,PinSocket_2x13_P2.54mm_Vertical,1,CONN_HOST_1,
JFSYNC1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Small_Bridged,
"R1, R2",0603,2,1k,C21189
"R10, R5, R6, R7",0603,4,22R,C23345
"R11, R13, R14, R9, RA1, RA2",0603,6,1k,C21190
R4,0603,1,0R,C21189
"RA3, RA4",0603,2,47k,C25819
SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm,1,SW_DIP_x04,C319050
U1,DB0020A-MFG,1,PCM1802DBR,C1520787
U2,SO-8_S_LIT,1,LTC1682IS8-5,C676404
