Designator,Mid X,Mid Y,Rotation,Layer
C1,117.125,-80.0,180.0,bottom
C10,117.125,-81.7,180.0,bottom
C11,117.1,-78.3,180.0,bottom
C12,163.075,-63.3,0.0,bottom
C13,107.5,-74.6,0.0,bottom
C14,104.8,-80.325,270.0,bottom
C15,120.675,-73.15,180.0,bottom
C16,125.5625,-72.3375,90.0,bottom
C17,163.175,-73.0,0.0,bottom
C18,150.775,-66.6,270.0,bottom
C19,150.775,-69.775,270.0,bottom
C2,113.5,-74.275,270.0,bottom
C20,165.975,-67.3,180.0,bottom
C21,165.975,-69.0,180.0,bottom
C22,107.5,-72.6,0.0,bottom
C23,182.275,-70.2,180.0,bottom
C24,176.725,-70.2,180.0,bottom
C25,121.97,-76.75,270.0,bottom
C3,117.1,-76.6,180.0,bottom
C4,104.9,-77.025,270.0,bottom
C5,103.1,-80.325,90.0,bottom
C6,140.2,-71.875,270.0,bottom
C7,138.6,-71.875,90.0,bottom
C8,141.09,-68.155,270.0,bottom
C9,144.28,-68.155,270.0,bottom
CNP1,145.7,-73.45,90.0,bottom
CNP2,144.4,-71.0,0.0,bottom
FB1,108.0,-69.2,90.0,bottom
J2,124.58,-59.73,90.0,bottom
R1,142.68,-68.155,270.0,bottom
R10,128.3,-79.6,180.0,bottom
R11,182.225,-72.7,180.0,bottom
R13,176.725,-67.7,180.0,bottom
R14,182.275,-67.7,0.0,bottom
R2,123.5625,-72.3875,270.0,bottom
R22,143.8,-73.425,270.0,bottom
R3,105.375,-69.475,90.0,bottom
R4,141.9,-72.2,90.0,bottom
R5,123.7,-69.9,180.0,bottom
R6,130.9,-76.8,90.0,bottom
R7,135.6,-76.775,90.0,bottom
R8,145.4,-77.0,270.0,bottom
R9,176.725,-72.7,0.0,bottom
RA1,152.475,-66.6,270.0,bottom
RA2,152.475,-69.725,90.0,bottom
RA3,158.45,-63.3,0.0,bottom
RA4,158.475,-73.0,0.0,bottom
RBYPASS2,141.95,-76.9,270.0,bottom
RFMT2,123.3,-64.9,270.0,bottom
RFMT4,125.3,-64.9,270.0,bottom
RMODE2,130.9,-64.95,270.0,bottom
RMODE4,133.2,-64.925,270.0,bottom
ROSR2,117.6,-64.925,270.0,bottom
SW1,158.465,-68.16,0.0,bottom
U1,132.4,-71.05,0.0,bottom
U2,110.8,-78.8,180.0,bottom
U3,124.82,-77.0375,90.0,bottom
